parent_sku,parent_title,variation_theme,child_sku,child_title,child_status,excel_row,attrs_json,duplicate_attrs
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,KS-ZJZ8-0JMJ,"PCD Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCD, RNGN0603)",Active,210,"{""Color"": ""PCD"", ""Size"": ""RNGN0603""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,MV-V0U8-YF4H,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (CBN, RNGN1203)",Active,211,"{""Color"": ""CBN"", ""Size"": ""RNGN1203""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,P4-THQL-9OFK,"PCBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCBN, RNGN0603)",Active,212,"{""Color"": ""PCBN"", ""Size"": ""RNGN0603""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,S3-36N2-HY8L,"PCBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCBN, RNGN1204)",Active,213,"{""Color"": ""PCBN"", ""Size"": ""RNGN1204""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,S3-PQX3-AYTD,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (CBN, RNGN0903)",Active,214,"{""Color"": ""CBN"", ""Size"": ""RNGN0903""}",0
4Y-7KDC-XBYI,"CBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks",COLOR/SIZE,X6-ICUZ-6FXV,"PCBN Inserts Turning Milling Tools for Surfacing Cylinder Heads, Blocks (PCBN, RNGN1203)",Active,215,"{""Color"": ""PCBN"", ""Size"": ""RNGN1203""}",0
AW-PPYS-9FTL,CBN Grinding Wheel 6-inch Diamond Grinding Gemstone Metal high-Speed Steel,STYLE (Deprecated: Do Not Use),2K-7GM5-BRT3,CBN Grinding Wheel 6-inch Diamond Grinding Gemstone Metal high-Speed Steel（80Grit）,Active,7,"{""Style"": ""80 Grit""}",0
AW-PPYS-9FTL,CBN Grinding Wheel 6-inch Diamond Grinding Gemstone Metal high-Speed Steel,STYLE (Deprecated: Do Not Use),Y4-SCDN-94DP,CBN Grinding Wheel 6-inch Diamond Grinding Gemstone Metal high-Speed Steel (150 Grit),Active,165,"{""Style"": ""180 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),4H-QG3V-V6UF,"NO Center Hole 8"" inch Diamond Grinding Disc 2500 Grit Flat Lap Disk Lapidary Tools for Stone (2500 Grit)",Active,10,"{""Style"": ""2500 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),6C-ZALF-OY1H,"NO Center Hole 8"" inch Diamond Grinding Disc 150 Grit Flat Lap Disk Lapidary Tools for Stone (150 Grit)",Active,14,"{""Style"": ""150 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),6W-WZAG-WGYH,"NO Center Hole 8"" inch Diamond Grinding Disc 500 Grit Flat Lap Disk Lapidary Tools for Stone (500 Grit)",Active,15,"{""Style"": ""500 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),8P-TWJI-GJ5T,"NO Center Hole 8"" inch Diamond Grinding Disc 1500 Grit Flat Lap Disk Lapidary Tools for Stone (1500 Grit)",Active,16,"{""Style"": ""1500 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),DC-U1AK-B5TR,"NO Center Hole 8"" inch Diamond Grinding Disc 2000 Grit Flat Lap Disk Lapidary Tools for Stone (2000 Grit)",Active,27,"{""Style"": ""2000 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),DM-NH-8-100,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone (100 Grit)",Active,96,"{""Style"": ""100 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),DM-NH-8-180,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone (180 Grit)",Active,97,"{""Style"": ""180 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),EJ-DIDV-LGHE,"NO Center Hole 8"" inch Diamond Grinding Disc 1800 Grit Flat Lap Disk Lapidary Tools for Stone (1800 Grit)",Active,124,"{""Style"": ""1800 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),HL-G7BH-IJB0,"NO Center Hole 8"" inch Diamond Grinding Disc 800 Grit Flat Lap Disk Lapidary Tools for Stone (800 Grit)",Active,125,"{""Style"": ""800 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),N7-2VLQ-SB8X,"NO Center Hole 8"" inch Diamond Grinding Disc 1200 Grit Flat Lap Disk Lapidary Tools for Stone (1200 Grit)",Active,131,"{""Style"": ""1200 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),NL-Q942-HDWM,"NO Center Hole 8"" inch Diamond Grinding Disc 600 Grit Flat Lap Disk Lapidary Tools for Stone (600 Grit)",Active,132,"{""Style"": ""600 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),Q5-981O-PLBO,"NO Center Hole 8"" inch Diamond Grinding Disc 320 Grit Flat Lap Disk Lapidary Tools for Stone (320 Grit)",Active,141,"{""Style"": ""320 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),QW-K0E6-7VF4,"NO Center Hole 8"" inch Diamond Grinding Disc 240 Grit Flat Lap Disk Lapidary Tools for Stone (240 Grit)",Active,142,"{""Style"": ""240 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),R7-KNCN-NKVI,"NO Center Hole 8"" inch Diamond Grinding Disc 3000 Grit Flat Lap Disk Lapidary Tools for Stone (3000 Grit)",Active,143,"{""Style"": ""3000 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),XC-QIHS-32AO,"NO Center Hole 8"" inch Diamond Grinding Disc 400 Grit Flat Lap Disk Lapidary Tools for Stone (400 Grit)",Active,163,"{""Style"": ""400 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),YR-J7WK-MY3O,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone (60 Grit)",Active,166,"{""Style"": ""60 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),ZE-6PEZ-MJF7,"NO Center Hole 8"" inch Diamond Grinding Disc 1000 Grit Flat Lap Disk Lapidary Tools for Stone (1000 Grit)",Active,167,"{""Style"": ""1000 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),ZL-PR5Z-BWPM,"NO Center Hole 8"" inch Diamond Grinding Disc 120 Grit Flat Lap Disk Lapidary Tools for Stone (120 Grit)",Active,168,"{""Style"": ""120 Grit""}",0
C6-X5A8-ZFHD,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone",STYLE (Deprecated: Do Not Use),ZU-LPE5-1N0J,"NO Center Hole 8"" inch Diamond Grinding Disc 60 Grit Flat Lap Disk Lapidary Tools for Stone (80 Grit)",Active,170,"{""Style"": ""80 Grit""}",0
CBN-PCBN-2PCS-INSERT-P,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron",SIZE/STYLE (Deprecated: Do Not Use),CBN-2PCS-INSERT-1203,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron (CBN, 1/2''-1/8'')",Active,182,"{""Size"": ""1/2''-1/8''"", ""Style"": ""CBN""}",0
CBN-PCBN-2PCS-INSERT-P,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron",SIZE/STYLE (Deprecated: Do Not Use),CBN-2PCS-INSERT-1204,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN1204000A, 1/2''-1/8'', Cast Iron (CBN, 1/2''-3/16'')",Active,183,"{""Size"": ""1/2''-3/16''"", ""Style"": ""CBN""}",0
CBN-PCBN-2PCS-INSERT-P,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron",SIZE/STYLE (Deprecated: Do Not Use),PCBN-2PCS-INSERT-1203,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron (PCBN, 1/2''-1/8'')",Active,185,"{""Size"": ""1/2''-1/8''"", ""Style"": ""PCBN""}",0
CBN-PCBN-2PCS-INSERT-P,"2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron",SIZE/STYLE (Deprecated: Do Not Use),PCBN-2PCS-INSERT-1204,"2PCS PCBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN1204000A, Cast Iron (PCBN, 1/2''-3/16'')",Active,186,"{""Size"": ""1/2''-3/16''"", ""Style"": ""PCBN""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-120Grit,2pcs 8inch 120 Grit Diamond Flat Lap disc (120 Grit),Active,31,"{""Style"": ""120 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-2000Grit,2pcs 8inch 2000Grit Diamond Flat Lap disc (2000 Grit),Active,32,"{""Style"": ""2000 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-240Grit,2pcs 8inch 240 Grit Diamond Flat Lap disc (240 Grit),Active,33,"{""Style"": ""240 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-3000Grit,2pcs 8inch 3000Grit Diamond Flat Lap disc (3000 Grit),Active,34,"{""Style"": ""3000 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-320Grit,2pcs 8inch 320 Grit Diamond Flat Lap disc (320 Grit),Active,35,"{""Style"": ""320 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-600Grit,2pcs 8inch 600 Grit Diamond Flat Lap disc (600 Grit),Active,36,"{""Style"": ""600 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-60Grit,2pcs 8inch 60 Grit Diamond Flat Lap disc (60 Grit),Active,37,"{""Style"": ""60 Grit""}",0
DM-2PCS-PARENT,2pcs 8inch Diamond Flat Lap disc,STYLE (Deprecated: Do Not Use),DM-2PCS-P-80Grit,"2pcs Diamond Flat Lap Disc, 8 Inch,80 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (80 Grit)",Active,38,"{""Style"": ""80 Grit""}",0
DM-8-1H-1000,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-DISC-1HOLE-8-3000,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (3000 Grit)",Active,52,"{""Style"": ""3000 Grit""}",0
DM-8-1H-1000,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),MF-MU0E-UFBV,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1000 Grit)",Active,130,"{""Style"": ""1000 Grit""}",0
DM-CBN-8Inc-parent,"dmsphd CBN Grinding Wheel 8-inch,5/8'' Bore,1'' Wide, Good Chemical Inertness and Strong Thermal Conductivity During Grinding, Suitable for high-Speed Steel",STYLE (Deprecated: Do Not Use),DM-CBN-8-1000,"CBN Grinding Wheel 8 inch 1000 Grit, 1"" Wide, 5/8"" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (1000 Grit)",Active,43,"{""Style"": ""1000 Grit""}",0
DM-CBN-8Inc-parent,"dmsphd CBN Grinding Wheel 8-inch,5/8'' Bore,1'' Wide, Good Chemical Inertness and Strong Thermal Conductivity During Grinding, Suitable for high-Speed Steel",STYLE (Deprecated: Do Not Use),DM-CBN-8-600,"dmsphd CBN Grinding Wheel 8 inch 600 Grit, 1"" Wide, 5/8"" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (600 Grit)",Active,44,"{""Style"": ""600 Grit""}",0
DM-CBN-8Inc-parent,"dmsphd CBN Grinding Wheel 8-inch,5/8'' Bore,1'' Wide, Good Chemical Inertness and Strong Thermal Conductivity During Grinding, Suitable for high-Speed Steel",STYLE (Deprecated: Do Not Use),DM-CBN-8-80,"dmsphd CBN Grinding Wheel 8 inch 80 Grit, 1"" Wide, 5/8"" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (80 Grit)",Active,45,"{""Style"": ""80 Grit""}",0
DM-CBN-8Inc-parent,"dmsphd CBN Grinding Wheel 8-inch,5/8'' Bore,1'' Wide, Good Chemical Inertness and Strong Thermal Conductivity During Grinding, Suitable for high-Speed Steel",STYLE (Deprecated: Do Not Use),DM-CBN-8Inc-G180,"dmsphd CBN Grinding Wheel 8 inch 180 Grit, 1"" Wide, 5/8"" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (180 Grit)",Active,46,"{""Style"": ""180 Grit""}",0
DM-CBN-8Inc-parent,"dmsphd CBN Grinding Wheel 8-inch,5/8'' Bore,1'' Wide, Good Chemical Inertness and Strong Thermal Conductivity During Grinding, Suitable for high-Speed Steel",STYLE (Deprecated: Do Not Use),DM-CBN-8Inc-G320,"dmsphd CBN Grinding Wheel 8 inch 320 Grit, 1"" Wide, 5/8"" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (320 Grit)",Active,47,"{""Style"": ""320 Grit""}",0
DM-CHAIN-P,"dmsphd CBN Chainsaw Sharpening 5-3/4"" Disk, 7/8"" Arbor, Thick For Sharpening Any Steel Chainsaw Chain",STYLE (Deprecated: Do Not Use),CBNCHAINSAW163,"CBN Chainsaw Grinding Wheel 5-3/4"" Dia, 7/8"" Arbor, 3/16'' Thick For Sharpening Any Steel Chainsaw Chain (5-3/4 x 3/16'')",Active,26,"{""Style"": ""5-3/4 x 3/16''""}",0
DM-CHAIN-P,"dmsphd CBN Chainsaw Sharpening 5-3/4"" Disk, 7/8"" Arbor, Thick For Sharpening Any Steel Chainsaw Chain",STYLE (Deprecated: Do Not Use),DM-CHAIN-1/8,"CBN Chainsaw Grinding Wheel 5-3/4"" Disk, 7/8"" Arbor, 1/8"" Thick For Sharpening Any Steel Chainsaw Chain （1/8"" Thick）",Active,49,"{""Style"": ""5-3/4'' x 1/8''""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-1000,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1000 Grit)",Active,66,"{""Style"": ""1000 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-120,"Diamond Flat Lap Disc, 8 Inch, 120 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (120 Grit)",Active,67,"{""Style"": ""120 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-1500,"Diamond Flat Lap Disc, 8 Inch, 1500 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1500 Grit)",Active,68,"{""Style"": ""1500 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-180,"Diamond Flat Lap Disc, 8 Inch, 180 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (180 Grit)",Active,69,"{""Style"": ""180 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-2000,"Diamond Flat Lap Disc, 8 Inch, 2000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (2000 Grit)",Active,70,"{""Style"": ""2000 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-240,"Diamond Flat Lap Disc, 8 Inch, 240 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (240 Grit)",Active,71,"{""Style"": ""240 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-3000,"Diamond Flat Lap Disc, 8 Inch, 3000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (3000 Grit)",Active,72,"{""Style"": ""3000 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-320,"Diamond Flat Lap Disc, 8 Inch, 320 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (320 Grit)",Active,73,"{""Style"": ""320 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-400,"Diamond Flat Lap Disc, 8 Inch, 400 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (400 Grit)",Active,74,"{""Style"": ""400 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-500,"Diamond Flat Lap Disc, 8 Inch, 500 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (500 Grit)",Active,75,"{""Style"": ""500 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-60,"Diamond Flat Lap Disc, 8 Inch, 60 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (60 Grit)",Active,76,"{""Style"": ""60 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-600,"Diamond Flat Lap Disc, 8 Inch, 600 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (600 Grit)",Active,77,"{""Style"": ""600 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-80,"Diamond Flat Lap Disc, 8 Inch, 80Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (80 Grit)",Active,78,"{""Style"": ""80 Grit""}",0
DM-FLAT-GRINDING-DISC,"Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing",STYLE (Deprecated: Do Not Use),DM-FLAT-800,"Diamond Flat Lap Disc, 8 Inch, 800 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (800 Grit)",Active,79,"{""Style"": ""800 Grit""}",0
DM-GLASS-CUTTER-SET,"Glass Cutter 2mm-20mm, Upgrade Glass Cutting Tool with Glass Cutting Oil, Pencil Style Oil Feed Carbide Tip Glass Cutter for Tiles/Mosaic/Mirror.",,29-3X9L-ANVS,"Glass Cutter 2mm-20mm, Upgrade Glass Cutting Tool with Glass Cutting Oil, Pencil Style Oil Feed Carbide Tip Glass Cutter for Tiles/Mosaic/Mirror. (Glass Oil Cutter)",Active,175,{},1
