item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	merchant-shipping-group	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3
37" x 1/8" Replacement Diamond Coated Band Saw Blade Fit Laser XL, Diamond 3000XL, C-40 & Other for Speedster Precision 2000 Laser 1000 Dl3000 (1pcs 37''x1/8'')	Diamond blades are specifically designed for wet cutting of stone, glass, marble, tile, ceramic, and other mineral-based materials, featuring a diamond-coated surface. Replacement diamond band saw blades have proven to be a highly efficient diamond machining tool, suitable for a wide range of materials and applications. Key Features: High-Strength Stainless Steel Construction: Made from seamless stainless steel, offering excellent corrosion and rust resistance. Premium Diamond Coating: Coated with high-quality diamond abrasives for superior cutting performance. Efficient Cutting: Diamond-coated teeth enable smooth and clean cutting of various glass and mineral materials, reducing grinding time and preserving valuable materials.	0222F0VK7WA	7D-WVZY-7OBG	24.8		2025-02-22 05:21:59 PST		y	1			11				B0DY55V15R						B0DY55V15R				AMAZON_NA	23.0	percent	3	10	5	15							Migrated Template							
Diamond Flat Lap Disc, 10 Inch, 100 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (100 Grit)	1.10-inch outside diameter,quality electroplated diamond coated flat lap disk wheel. 2.The flat laps wheels have a 1-inch Arbo_r hole for Angle Grinder. 3.They are absolutely flat and to meet the most exacting faceting requirements. 4.For grinding and polishing jewelry, glass, rock,stone, granit_e,etc. 5.Recommended for rough and fine grinding on faceting material plus general lapidary grinding when precision is required. 0 Specification: Product Name: Diamond Disc Package Content: 1 x Diamond Disc Weight: 405g Material: Metal,Diamond Coated Color: Silver Tone Outer Diameter: 250mm/10-inch Arbo_r Hole Diameter: 12.7mm/1/2-inch Thickness: 1mm/0.04-inch	0225F6ZSC5D	8Z-5M0X-WK93	18		2025-02-24 17:46:56 PST		y	1			11				B0DYCDK15V						B0DYCDK15V				AMAZON_NA	16.8												Migrated Template							
2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN120300A, 1/2''-1/8'', Cast Iron (CBN, 1/2''-1/8'')	These PCBN CBN turning inserts are precision-engineered cutting tools designed specifically for demanding machining applications including block and head resurfacing, vertical milling, and boring operations. The RNGN120300A insert measures 1/2 inch by 1/8 inch and features cubic boron nitride (CBN) construction, making it ideally suited for machining cast iron materials. These inserts deliver exceptionally high abrasion resistance, ensuring extended tool life even under rigorous cutting conditions. The CBN material provides outstanding impact strength, allowing the insert to withstand the demanding forces encountered during cylinder head and engine block surfacing operations. Users can expect excellent surface finish quality, which is critical for achieving the precise flatness requirements needed in engine rebuilding and automotive machining work. The insert's geometry and material composition work together to maintain cutting edge integrity throughout extended production runs, reducing downtime and tooling costs while improving overall machining efficiency.	0105HD4JJ1N	CBN-2PCS-INSERT-1203	75.8		2026-01-04 19:14:15 PST		y	1			11				B0GF179Q79						B0GF179Q79				AMAZON_NA													Migrated Template							
2PCS PCBN CBN Inserts for Turning Milling, Surfacing Cylinder Heads and Blocks, RNGN1204000A, 1/2''-1/8'', Cast Iron (CBN, 1/2''-3/16'')	These PCBN CBN turning inserts are precision-engineered cutting tools designed specifically for demanding machining applications including block and head resurfacing, vertical milling, and boring operations. The RNGN120300A insert measures 1/2 inch by 1/8 inch and features cubic boron nitride (CBN) construction, making it ideally suited for machining cast iron materials. These inserts deliver exceptionally high abrasion resistance, ensuring extended tool life even under rigorous cutting conditions. The CBN material provides outstanding impact strength, allowing the insert to withstand the demanding forces encountered during cylinder head and engine block surfacing operations. Users can expect excellent surface finish quality, which is critical for achieving the precise flatness requirements needed in engine rebuilding and automotive machining work. The insert's geometry and material composition work together to maintain cutting edge integrity throughout extended production runs, reducing downtime and tooling costs while improving overall machining efficiency.	0105HD0540V	CBN-2PCS-INSERT-1204	75.8		2026-01-04 18:57:00 PST		y	1			11				B0GDZQ2FGC						B0GDZQ2FGC				AMAZON_NA													Migrated Template							
Dmsphd PROseries CBN Credit Card Sharpening Stone, 350/600 Grit, Double Sided, Cubic Boron Nitride, Portable	Elevate your sharpening game with this innovative CBN (Cubic Boron Nitride) credit card-sized sharpening stone. This dual-sided precision tool features 350 grit on one side and 600 grit on the other, perfect for maintaining your knives, tools, and even fish hooks. The compact credit card size means you can easily slip it into your pocket or wallet, making it ideal for both workshop and on-the-go use. Unlike traditional natural sharpening stones that wear down over time, this CBN stone maintains its shape and effectiveness. One of its standout features is the dry sharpening capability - no need for messy water or oils during the sharpening process. Whether you're a professional craftsman or an outdoor enthusiast, this versatile sharpening stone delivers consistent, professional results while offering unmatched portability and convenience.	0116HF434F7	CBN-CARD-350-600	28.99		2026-01-15 20:21:30 PST		y	1			11				B0GH6HRLZ6						B0GH6HRLZ6				AMAZON_NA													Migrated Template							
CBN Chainsaw Grinding Wheel 5-3/4" Dia, 7/8" Arbor, 3/16'' Thick for Sharpening Any Steel Chainsaw Chain (5-3/4 x 3/16'')	Why choose cbn grinding wheel? 1.CBN wheels are more durable A single cbn grinding wheel can sharpen over 1000 chainsaws and lasts a long time, whereas a normal grinding wheel can wear badly after sharpening dozens of chainsaws. 2.CBN wheels are stronger The cbn grinding wheel body is made of steel metal body, which is not only strong, but also light in weight and stable in operation. Ordinary grinding wheels are brittle in texture and are easily damaged during installation and use. 3.CBN grinding wheel has higher grinding efficiency Cubic boron nitride (CBN) is one of the hardest materials in the world, much harder than aluminum oxide.	0603FD9NNNU	CBNCHAINSAW163	75		2025-06-03 16:58:24 PDT		y	1			11				B0F3373CTB						B0F3373CTB				AMAZON_NA	69.8												Migrated Template							
Diamond Flat Lap Disc, 6" x 1/2" Arbor, Diamond-Coated Grinding, Sanding, Lapping, and Polishing Disc for Gemstones, Ceramics, Stone, and Glass (80 Grit)	DIamond grinding disc	0709FKTP45C	DIA-FLAT-6-80	9.88		2025-07-09 00:44:50 PDT		y	1			11				B0FH4S4K73						B0FH4S4K73				AMAZON_NA													Migrated Template							
3pcs 5-3/4 Inch Taurus 3.0 and II.2 Ring Saw Replacement Diamond Coated Blade Grit 170	Premium Diamond-Coated Ring Saw Blades for Taurus 3.0 & MasterCraft Upgrade your cutting precision with our 5-3/4-inch diamond-coated ring saw blades, designed for seamless performance on the Taurus 3.0 and Taurus II.2 ring saws. Crafted from high-strength, rust-resistant stainless steel, these multi-directional blades deliver smooth, clean cuts in glass, gemstones, marble, tile, ceramics, and other mineral materials. Key Features: ✔ Diamond-Coated Grit (170) – Ensures fast, precise cutting with minimal material waste. ✔ Multi-Directional Cutting – Cuts effortlessly in all directions for intricate designs. ✔ Durable & Corrosion-Resistant – Seamless stainless steel construction for long-lasting use. ✔ Wide Material Compatibility – Ideal for lapidary, glasswork, and tile cutting. ✔ Easy Maintenance – Diamond-coated edge reduces grinding time and extends blade life. Note: Grommets sold separately.	0709FKQEQK8	DIA-RING-SAW-3PCS	69		2025-07-09 00:19:41 PDT		y	1			11				B0FH4R2F2P						B0FH4R2F2P				AMAZON_NA													Migrated Template							
CBN Grinding Wheel 8 inch 1.25" Wide, 5/8" Bore,Aluminum Body, Suitable for High Speed Steel Tools and Bench Grinders (320 Grit)	cbn grinding wheel	1216FPKSJOV	DM-8INCH-125-320	125		2025-12-15 18:57:20 PST		y	1			11				B0G79MV8W6						B0G79MV8W6				AMAZON_NA													Migrated Template							
CBN Grinding Wheel 8 inch 1000 Grit, 1" Wide, 5/8" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (1000 Grit)	CBN grinding wheels, with their high hardness and superior grinding performance, are not only widely used in processing hard and brittle materials, such as hard alloys, molds, ceramics, glass, gemstones, semiconductors, etc	0402B75Q9TQ	DM-CBN-8-1000	89		2024-04-01 22:44:32 PDT		y	1			11				B0CZNGRDRH						B0CZNGRDRH				AMAZON_NA	85.0	fixed	3	84	5	83	10	82					Migrated Template							
dmsphd CBN Grinding Wheel 8 inch 600 Grit, 1" Wide, 5/8" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (600 Grit)	CBN grinding wheels, with their high hardness and superior grinding performance, are not only widely used in processing hard and brittle materials, such as hard alloys, molds, ceramics, glass, gemstones, semiconductors, etc What grit size should I choose for CBN wheels? If you frequently modify tools or occasionally create your own, opt for the 80-grit wheel as your coarse option. If you're not often involved in heavy grinding, choose a 180-grit wheel for sharpening and a 320-grit for fine-tuning your tools. This setup will produce an extremely sharp edge while removing minimal metal, ensuring your tools have a prolonged lifespan.	0317B37IUP4	DM-CBN-8-600	89		2024-03-17 04:54:26 PDT		y	1			11				B0CY9JQB39						B0CY9JQB39				AMAZON_NA	85.0	fixed	2	78									Migrated Template							
dmsphd CBN Grinding Wheel 8 inch 80 Grit, 1" Wide, 5/8" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (80 Grit)	CBN grinding wheels, with their high hardness and superior grinding performance, are not only widely used in processing hard and brittle materials, such as hard alloys, molds, ceramics, glass, gemstones, semiconductors, etc What grit size should I choose for CBN wheels? If you frequently modify tools or occasionally create your own, opt for the 80-grit wheel as your coarse option. If you're not often involved in heavy grinding, choose a 180-grit wheel for sharpening and a 320-grit for fine-tuning your tools. This setup will produce an extremely sharp edge while removing minimal metal, ensuring your tools have a prolonged lifespan.	0402B75EEIL	DM-CBN-8-80	89		2024-04-01 22:44:32 PDT		y	1			11				B0CZN5J2TT						B0CZN5J2TT				AMAZON_NA	85.0	fixed	10	80									Migrated Template							
dmsphd CBN Grinding Wheel 8 inch 180 Grit, 1" Wide, 5/8" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (180 Grit)	CBN grinding wheels, with their high hardness and superior grinding performance, are not only widely used in processing hard and brittle materials, such as hard alloys, molds, ceramics, glass, gemstones, semiconductors, etc	0812ATGM7Z2	DM-CBN-8Inc-G180	89		2023-08-12 08:29:26 PDT		y	3			11				B0CFHNGNYW						763871219222				AMAZON_NA	85.0	fixed	10	75									Migrated Template							
dmsphd CBN Grinding Wheel 8 inch 320 Grit, 1" Wide, 5/8" Arbor, Suitable for All Kinds of 8-inch Bench Grinders (320 Grit)	CBN grinding wheels, with their high hardness and superior grinding performance, are not only widely used in processing hard and brittle materials, such as hard alloys, molds, ceramics, glass, gemstones, semiconductors, etc	0812ATFY7I3	DM-CBN-8Inc-G320	89		2023-08-12 08:29:26 PDT		y	3			11				B0CFHKSXQD						763746091137				AMAZON_NA	85.0	fixed	2	78									Migrated Template							
CBN Chainsaw Grinding Wheel 5-3/4" Disk, 7/8" Arbor, 1/8" Thick for Sharpening Any Steel Chainsaw Chain （1/8" Thick）	Got dull chainsaw chains? The Chainsaw Blade CBN Disks are your go-to for sharpening. Made with a tough steel body, these disks don't mess around. Each one has a quarter-inch of grit on the sides, making them perfect for revitalizing your chainsaw chain quickly and efficiently. Just attach the disk to your angle grinder and you're ready to give your chainsaw that sharp edge it needs to eat through wood like butter.	0707BWT3618	DM-CHAIN-1/8	75		2024-07-07 03:35:39 PDT		y	1			11				B0D8ZR396B						B0D8ZR396B				AMAZON_NA	69.8												Migrated Template							
Diamond Flat Lap Disc, 10 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1000 Grit)	1.10-inch outside diameter,quality electroplated diamond coated flat lap disk wheel. 2.The flat laps wheels have a 1-inch Arbo_r hole for Angle Grinder. 3.They are absolutely flat and to meet the most exacting faceting requirements. 4.For grinding and polishing jewelry, glass, rock,stone, granit_e,etc. 5.Recommended for rough and fine grinding on faceting material plus general lapidary grinding when precision is required. 0 Specification: Product Name: Diamond Disc Package Content: 1 x Diamond Disc Weight: 405g Material: Metal,Diamond Coated Color: Silver Tone Outer Diameter: 250mm/10-inch Arbo_r Hole Diameter: 12.7mm/1/2-inch Thickness: 1mm/0.04-inch	0924F32FNGV	DM-DISC-10-SIG	18		2025-09-24 02:31:28 PDT		y	1			11				B0FSDHYQ46						B0FSDHYQ46				AMAZON_NA													Migrated Template							
Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (3000 Grit)	8 inch cbn grinding disc	0306HULTZNG	DM-DISC-1HOLE-8-3000	12.8	33	2026-03-05 21:57:14 PST		y	1			11				B0GRGQ1YH1						B0GRGQ1YH1			0	DEFAULT													Migrated Template							
Diamond Flat Lap Disc, 6" x 1/2" Arbor, Diamond-Coated Grinding, Sanding, Lapping, and Polishing Disc for Gemstones, Ceramics, Stone, and Glass (1000 Grit)	The Diamond Flat Lap Disc (6" x 1/2" Arbor) is a versatile and durable tool designed to handle challenging grinding and polishing tasks with precision. Featuring a diamond-coated surface, this flat lap wheel is ideal for working with tough materials like gemstones, ceramics, stone, and glass, delivering smooth and professional results. With a 6-inch diameter and a 1/2-inch arbor, this disc is compatible with most flat lap machines, making it a reliable choice for various workshop setups. Available in multiple grit levels, it accommodates a wide range of applications, from heavy material removal to delicate polishing. Built for longevity, this flat lap disc utilizes cutting-edge electroplating technology to firmly embed diamond particles, offering exceptional durability and reducing the need for frequent replacements. Whether you're a jeweler, glass artist, or hobbyist, this tool is an essential addition to your collection. Experience unmatched performance and precision – elevate your crafting projects with this Diamond Flat Lap Disc today!	1117BRI2BGV	DM-DM-6-H-1000	9.88		2024-11-17 07:30:10 PST		y	1			11				B0DNCZH3QP						B0DNCZH3QP				AMAZON_NA	8.8												Migrated Template							
Diamond Flat Lap Disc, 6" x 1/2" Arbor, Diamond-Coated Grinding, Sanding, Lapping, and Polishing Disc for Gemstones, Ceramics, Stone, and Glass (180 Grit)	The Diamond Flat Lap Disc (6" x 1/2" Arbor) is a versatile and durable tool designed to handle challenging grinding and polishing tasks with precision. Featuring a diamond-coated surface, this flat lap wheel is ideal for working with tough materials like gemstones, ceramics, stone, and glass, delivering smooth and professional results. With a 6-inch diameter and a 1/2-inch arbor, this disc is compatible with most flat lap machines, making it a reliable choice for various workshop setups. Available in multiple grit levels, it accommodates a wide range of applications, from heavy material removal to delicate polishing. Built for longevity, this flat lap disc utilizes cutting-edge electroplating technology to firmly embed diamond particles, offering exceptional durability and reducing the need for frequent replacements. Whether you're a jeweler, glass artist, or hobbyist, this tool is an essential addition to your collection. Experience unmatched performance and precision – elevate your crafting projects with this Diamond Flat Lap Disc today!	1117BRUF0DG	DM-DM-6-H-180	9.88		2024-11-17 07:30:10 PST		y	1			11				B0DNCYLDFQ						B0DNCYLDFQ				AMAZON_NA	8.8												Migrated Template							
Diamond Flat Lap Disc, 6" x 1/2" Arbor, Diamond-Coated Grinding, Sanding, Lapping, and Polishing Disc for Gemstones, Ceramics, Stone, and Glass (2000 Grit)	The Diamond Flat Lap Disc (6" x 1/2" Arbor) is a versatile and durable tool designed to handle challenging grinding and polishing tasks with precision. Featuring a diamond-coated surface, this flat lap wheel is ideal for working with tough materials like gemstones, ceramics, stone, and glass, delivering smooth and professional results. With a 6-inch diameter and a 1/2-inch arbor, this disc is compatible with most flat lap machines, making it a reliable choice for various workshop setups. Available in multiple grit levels, it accommodates a wide range of applications, from heavy material removal to delicate polishing. Built for longevity, this flat lap disc utilizes cutting-edge electroplating technology to firmly embed diamond particles, offering exceptional durability and reducing the need for frequent replacements. Whether you're a jeweler, glass artist, or hobbyist, this tool is an essential addition to your collection. Experience unmatched performance and precision – elevate your crafting projects with this Diamond Flat Lap Disc today!	1117BRREYU9	DM-DM-6-H-2000	9.88		2024-11-17 07:30:10 PST		y	1			11				B0DNCYXL5J						B0DNCYXL5J				AMAZON_NA	8.8												Migrated Template							
Diamond Flat Lap Disc, 6" x 1/2" Arbor, Diamond-Coated Grinding, Sanding, Lapping, and Polishing Disc for Gemstones, Ceramics, Stone, and Glass (800 Grit)	The Diamond Flat Lap Disc (6" x 1/2" Arbor) is a versatile and durable tool designed to handle challenging grinding and polishing tasks with precision. Featuring a diamond-coated surface, this flat lap wheel is ideal for working with tough materials like gemstones, ceramics, stone, and glass, delivering smooth and professional results. With a 6-inch diameter and a 1/2-inch arbor, this disc is compatible with most flat lap machines, making it a reliable choice for various workshop setups. Available in multiple grit levels, it accommodates a wide range of applications, from heavy material removal to delicate polishing. Built for longevity, this flat lap disc utilizes cutting-edge electroplating technology to firmly embed diamond particles, offering exceptional durability and reducing the need for frequent replacements. Whether you're a jeweler, glass artist, or hobbyist, this tool is an essential addition to your collection. Experience unmatched performance and precision – elevate your crafting projects with this Diamond Flat Lap Disc today!	1117BRI1336	DM-DM-6-H-800	9.88		2024-11-17 07:30:10 PST		y	1			11				B0DNCZGYDD						B0DNCZGYDD				AMAZON_NA	8.8												Migrated Template							
Diamond Flat Lap Disc, 8 Inch, 1000 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1000 Grit)	This 8-inch diamond flat lap disc features a 1,000 grit finish that delivers an ultra-smooth, highly polished surface. The 1/2-inch arbor makes it compatible with most grinding and polishing machines. Ideal for shaping, grinding, sanding and lapping a variety of materials including gemstones, glass, ceramics and more, it efficiently removes material while maintaining an even, flat surface. The diamond grit particles cut quickly and precisely for fast stock removal without risk of overheating or damaging delicate workpieces. Cleanup is simple, as swarf wipes away easily. Whether you need to flatten, contour or refine edges, this durable lap wheel handles the task efficiently and delivers a blemish-free, mirror-like finish every time.	0512BED4IH2	DM-FLAT-1000	12.8		2024-05-12 00:23:50 PDT		y	1			11				B0D3YQ4HQG						B0D3YQ4HQG				AMAZON_NA	11.0												Migrated Template							
Diamond Flat Lap Disc, 8 Inch, 120 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (120 Grit)	This 8-inch diamond flat lap disc features a 120 grit finish that delivers an ultra-smooth, highly polished surface. The 1/2-inch arbor makes it compatible with most grinding and polishing machines. Ideal for shaping, grinding, sanding and lapping a variety of materials including gemstones, glass, ceramics and more, it efficiently removes material while maintaining an even, flat surface. The diamond grit particles cut quickly and precisely for fast stock removal without risk of overheating or damaging delicate workpieces. Cleanup is simple, as swarf wipes away easily. Whether you need to flatten, contour or refine edges, this durable lap wheel handles the task efficiently and delivers a blemish-free, mirror-like finish every time.	0512BDYJ9GG	DM-FLAT-120	12.8		2024-05-12 00:23:50 PDT		y	1			11				B0D3YM8RRL						B0D3YM8RRL				AMAZON_NA	11.0												Migrated Template							
Diamond Flat Lap Disc, 8 Inch, 1500 Grit, 1/2 Inch Arbor, for Gemstone Glass Ceramics Grinding Polishing (1500 Grit)	This 8-inch diamond flat lap disc features a 1,500 grit finish that delivers an ultra-smooth, highly polished surface. The 1/2-inch arbor makes it compatible with most grinding and polishing machines. Ideal for shaping, grinding, sanding and lapping a variety of materials including gemstones, glass, ceramics and more, it efficiently removes material while maintaining an even, flat surface. The diamond grit particles cut quickly and precisely for fast stock removal without risk of overheating or damaging delicate workpieces. Cleanup is simple, as swarf wipes away easily. Whether you need to flatten, contour or refine edges, this durable lap wheel handles the task efficiently and delivers a blemish-free, mirror-like finish every time.	0512BEG3KGW	DM-FLAT-1500	12.8		2024-05-12 00:23:50 PDT		y	1			11				B0D3YPPNLX						B0D3YPPNLX				AMAZON_NA	11.0												Migrated Template							
